Bamboo shoots,1
Brussels sprouts,1
Cabbage (green or white),1
Celery,1
Chives,1
Choko,1
Beans (dried - not borlotti),1
Peas (dried),1
Leek,1
Lentils (brown or red),1
Iceberg lettuce,1
Mungbean (and spouts),1
Potato (peeled white),1
Eschallots,1
Swedes,1
Soybeans,1
Beansprouts,1
Green Split peas,1
Asparagus (fresh),3
Beetroot (fresh),3
Carrot (fresh),3
Cauliflower,3
Corn (fresh),3
French beans,3
Horseradish (canned),3
Mushroom (fresh),3
Onion,3
Potato (unpeeled white),3
Peas (fresh),3
Pimiento (canned),3
Pumpkin,3
Spinach (frozen),3
Tomato (fresh),3
Turnip,3
Bean Sprouts,3
Borlotti beans,3
Brussels sprouts,3
Cabbage - red,3
Chickpeas,3
Chives,3
Choko,3
Green Beans,3
Green Peas,3
Leek,3
Mung bean sprouts,3
Onion,3
Potato (white with peel),3
Shallots,3
Yellow split peas,3
Asparagus (canned),5
Beetroot (canned),5
Corn (canned),5
Bok choy,5
Choy sum,5
Lettuce (other than iceberg),5
Maize,5
Olives (black ),5
Parsley,5
Parsnip,5
Potato (red),5
Pumpkin,5
Snow peas (and sprouts),5
Sweet corn,5
Sweet potato (yellow),5
Aubergine - peeled,5
Beetroot,5
Carrot,5
Fresh Tomato,5
Frozen Spinach,5
Marrow,5
Mushrooms,5
Sprout,5
Turnip,5
Alfalfa,7
Artichoke,7
Broad beans,7
Broccoli,7
Chili (green and yellow),7
Corn (creamed),7
Cucumber,7
Eggplant,7
Fava beans,7
Okra,7
Spinach (fresh),7
Squash,7
Sweet potato (white),7
Tomato (canned),7
Water chestnut,7
Watercress,7
Aubergine with peel,7
Canned black olive,7
Radish,7
Sweet Potato,7
Zucchini,7
Capsicum (green),9
Champignon (canned),9
Chili (red),9
Chicory,9
Courgette,9
Endive,9
Gherkin,9
Mushroom (canned),9
Olives (green),9
Pepper (sweet),9
Radish,9
Tomato (paste and sauce),9
Zucchini,9
Hot pepper,9
Peppers,9
Tomato,9
Water Chestnut,9
Banana,1
Pear (peeled),1
"Canned Pear (in syrup, not juice)",1
Lime,1
Apple (golden and red delicious),3
Custard apple,3
Fig,3
"Cherries (sour canned, morello)",3
Grapes (green),3
Lemon (fresh),3
Mango,3
Pawpaw,3
Passion fruit,3
Persimmon,3
Pineapple juice,3
Pomegranate,3
Rhubarb,3
Tamarillo,3
Nashi Pears,3
Papaya,3
Apple (Jonathon),5
Apple (canned),5
Grapefruit juice,5
Kiwi fruit,5
Lychee,5
Loquat,5
Nectarine (fresh),5
Pear (with peel),5
Plum (fresh),5
Watermelon,5
Apple - red delicious,5
Canned or dried Fig,5
"Canned pear (in juice, not syrup)",5
Custard apple,5
Lemon,5
Mango,5
Persimmon,5
Pomegranate,5
Rhubarb,5
Fresh Tomato,5
Passion fruit,5
Apple - all other varieties,7
Avocado (fresh),7
Cherries (sweet),7
Fig (dried),7
Grapes (red),7
Grape juice,7
Grape fruit,7
Mandarin,7
Mulberry,7
Peach (fresh and canned),7
Tangelo,7
Canned Morello cherries,7
Cantaloupe,7
Kiwi fruit,7
Lychee,7
Melons,7
Nectarine,7
Sugar banana,7
Watermelon,7
Apricot,9
Blackberries,9
Blueberries,9
Boysenberries,9
Cantaloupe Rockmelon,9
Cherries - all other kinds,9
Cranberry (sauce and canned),9
Currants,9
Dates,9
Grapes (fresh),9
Guava,9
Loganberries,9
Orange,9
Pineapple,9
Plum (canned),9
Prunes,9
Raisons,9
Raspberry,9
Redcurrants,9
Strawberries,9
Sultanas,9
Youngberry,9
All dried Fruits,9
Avocado,9
Blackberry,9
Blackcurrant,9
Plum,9
Rock melon,9
Tangelo,9
Tangerine,9
Tomato,9
Tomato Products,9
Water chestnut,9
Butter,1
Canola Oil,1
Margarine****,1
Safflower Oil,1
Soy Oil,1
Sunflower Oil,1
Ghee,3
Almond Oil,5
Corn Oil,5
Peanut Oil,5
Copha,7
Sesame oil,7
Walnut Oil,7
Coconut Oil,9
Olive Oil,9
Cashews,1
Poppy seeds,1
All grains (except maize),1
BarleyBuckwheat,1
Millet,1
Oats (plain),1
Rice,1
Rice cereals (plain),1
Rye,1
Wheat,1
Pecans,3
Peanut butter,3
Sesame seeds,3
Hazelnuts,3
Sunflower seeds,3
Potato chips (plain),3
Cashews,3
Sunflower seeds,3
Coconut (desiccated),5
Brazil nuts,5
Corn chips,5
Popcorn,5
Pumpkin seeds,5
Taco shells,5
Walnuts,5
Peanut Butter,5
Sesame seeds,5
Apple chips (only if homemade from acceptable varieties of apples),5
Pine nuts,7
Macadamia nuts,7
Pistachio nuts,7
Brazil nuts,7
"Breakfast cereals that include fruit, nuts, honey or coconutCorn/maize cereals",7
Cornmeal,7
Flavored breakfast cereals,7
Maize,7
Polenta,7
Popcorn,7
Popping corn,7
Almonds,9
Peanuts,9
Chips and crackers (savory flavored),9
Chewing gum (all flavors),9
"Fruit flavored candy, gelato, ices, popsicles, sherbet, sorbet, and sweets",9
Licorice/liquorices (all flavors),9
Mint/peppermint/wintergreen flavored candy/sweets,9
Pickles (and anything pickled),9
Garlic (fresh),1
Parsley,1
Chives,1
Coriander,1
Salt,1
Malt Vinegar,1
Golden Syrup,1
Maple Syrup (pure),1
Vinegar,3
Soy sauce,3
Saffron,3
Tandoori spice powder,3
Horseradish (canned),3
Vanilla,3
Apple Butter (only if homemade from acceptable varieties of apples),3
Chives,3
Fennel - dried,3
Garlic,3
Parsley (except Chinese parsley also known as coriander),3
Saffron,3
Shallots,3
Soy Sauce (if free of spices),3
Fennel,5
Fresh Coriander Leaves (also known as Chinese parsley),5
Horseradish,5
Mayonnaise,5
Vegemite,7
"Vinegars (red and white wine, cider and others)",7
All Spice,7
Bay leaf,7
Caraway,7
Cardamom,7
Cinnamon,7
Cloves,7
Coriander,7
Gravy made from prepared mixes (i.e. stock cubes/bouillon/meat extracts/etc.),7
Ginger,7
Mixed herbs,7
Mustard,7
Pimiento,7
All spice,9
Anise seed,9
Cayenne,9
Celery powder,9
Cinnamon,9
Cumin,9
Curry powder,9
Dill,9
Fenugreek,9
Five spice,9
Garam masala,9
Ginger,9
Honey,9
Jam,9
Mace,9
Mint,9
Mixed herbs,9
Mustard,9
Oregano,9
Paprika (hot),9
Paprika (sweet),9
Pepper,9
Rosemary,9
Sage,9
Tarragon,9
Turmeric,9
Thyme,9
Worcestershire sauce,9
Basil,9
Black pepper,9
Chili flakes,9
Chili Powder,9
Cider Vinegar,9
Commercial Gravies & Sauces,9
"Fish, meat, and tomato pastes",9
Liquorices,9
Marmite,9
Nutmeg,9
Peppermint,9
Tabasco,9
Vegemite and other Yeast Extracts****,9
White pepper,9
White Vinegar,9
Wine Vinegar,9
Beef,1
Chicken,1
Eggs,1
Fish,1
Lamb,1
Organ meats,1
Rabbit,1
Sausage casing,1
Scallops,1
Tripe,1
Veal,1
Liver,3
Prawns,3
Shellfish,3
Fish canned in an unacceptable oil and/or with seasonings added,7
Processed luncheon meats (many are seasoned and thus contain salicylates),9
"Seasoned meats (e.g. salami, sausages, frankfurters, and hotdogs",9
Tea (all varieties),9
Liqueur,9
Peppermint tea,9
Port,9
Rum,9
Champagne,9
Wines,9
Cordials,9
Butter,1
Cream,1
Cheese (not blue vein),1
Milk,1
Yoghurt (natural only),1
Ice Cream ****,1
Rice Milk,1
Goat Milk,1
Soy Milk ****,1
Tofu,1
Eggs,1
Blue vein Cheese,5
Arrowroot,1
Corn starch (also known as corn flour in Australia),1
Golden Syrup,1
Malt,1
Malt extract,1
Poppy seeds,1
Rice Flour,1
Rye Flour,1
Sago,1
Soy Flour,1
Sugar,1
"Sugar (brown, castor, granulated, icing, powdered)",1
Tapioca,1
Wheat Flour,1
Molasses,3
Brown sugar,3
Caramel,3
Golden Syrup,3
Malt Extract,3
Molasses,5
Raw Sugar,5
Corn Syrup,7
Golden syrup,1
Maple syrup,1
White sugar,1
Carob,1
Cocoa,1
Homemade caramel,1
Cocoa powder,1
Carob powder,1
Coffee (Decaf),1
Ovaltine,1
Milk (goat and cow),1
Pear Juice (homemade),1
Soy milk,1
Rice milk,1
Gin,1
Whiskey,1
Vodka,1
Chamomile tea,3
Vodka,3
Whiskey,3
Gin,3
Dandelion coffee,3
Pear Juice (store bought),3
Coffee (instant),5
Rosehip tea,5
Fruit herbal tea,5
Brandy,5
Vermouth,5
Beer,5
Cider,5
Coco cola,5
Rose hip tea,5
Rose hip syrup,5
Sherry,5
Sherry,7
Cointreau,7
Tia Maria,7
Fruit juices,7
regular coffee,7
all teas,7
Cordials and fruit flavored drinks,7
Liquor,7
Port,7
Wine,7
Rum,7
